,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6683,CUfl7clOb3K,202503,indicator_4,0.0,PAj0oVY0Dxu,Kaushambi,Newada,36,457.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6684,EXoRpuAixOF,202503,indicator_4,0.0,PAj0oVY0Dxu,Kaushambi,Sarsawan,38,452.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6685,HtBQrKnRi8A,202503,indicator_4,0.0,PAj0oVY0Dxu,Kaushambi,Sirathu,59,451.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6686,JyfWW9uiTL5,202503,indicator_4,3.8910505836575875,PAj0oVY0Dxu,Kaushambi,Kaushambi,33,454.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6687,QGh6NT0LgVl,202503,indicator_4,9.04977375565611,PAj0oVY0Dxu,Kaushambi,Chail,22,456.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6688,UBoDZuuvpRs,202503,indicator_4,0.0,PAj0oVY0Dxu,Kaushambi,Kara,50,450.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6689,gO0bpL7Tygs,202503,indicator_4,2.4096385542168677,PAj0oVY0Dxu,Kaushambi,Muratganj,40,455.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6690,ppVmu0WT8Jb,202503,indicator_4,0.0,PAj0oVY0Dxu,Kaushambi,Manjhanpur,34,453.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6691,qaNCPibFPR2,202503,indicator_4,26.7639902676399,PAj0oVY0Dxu,Kaushambi,Kaushambi (Urban),15,,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6692,Cea63kQpiOw,202503,indicator_4,6.578947368421052,NNk3JP90QZ5,Sonbhadra,Ghorawal,65,799.0,Mirzapur Division,200,quality,delivery_care,indicator_4,Still birth ratio,n
